,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
476,478,"['GN1402', 'GN1401']",20100503,Half Seas Over,2167346,[711855],Get Me To The Station,GN1400,['Half Seas Over'],478
506,508,"['GN0801', 'GN0803']",19881003,송창식 골든 제3집,4144,[833],담배가게 아가씨,GN0800,['송창식'],508
518,520,"['GN1401', 'GN1404']",20181213,Fearless (Big Machine Radio Release Special),5650612,[325867],Love Story,GN1400,['Taylor Swift'],520
533,535,"['GN0801', 'GN0803']",19970601,Welcome To My Beach,7638,[100950],마녀! 여행을 떠나다,GN0800,['코나'],535
539,541,"['GN0804', 'GN0801']",20060529,Old & New,323164,[10280],사랑은 받는 것이 아니라면서,GN0800,['박강수'],541
555,557,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20150821,사랑은 푸른빛,2335817,[883215],모래편지,GN0800,['헤이달리 (Hey Dali)'],557
573,575,"['GN0805', 'GN0801']",20190626,The Way I Am,10300007,[946813],The Way I Am,GN0800,['오연준'],575
594,596,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20151120,IN THE ROOM PART.2,2651881,[674013],닿을락 말락 (Feat. 슈가볼),GN0800,['타린'],596
600,602,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20170826,반했나요,10091012,[1272094],반했나요,GN0800,['담소네공방'],602
604,606,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180509,사랑오운 아띠,10164803,[1272094],그네,GN0800,['담소네공방'],606
608,610,"['GN1402', 'GN1401', 'GN1407']",20190821,Bess’s Dance,10319563,[1867789],Bess’s Dance,GN1400,['Itasca'],610
616,618,"['GN1402', 'GN1401']",20101111,Thirty People Away,1265153,[496040],True Believers,GN1400,['Tamas Wells'],618
618,620,"['GN1403', 'GN1401']",20050927,Bring `Em In,310690,[27343],Cheaper To Keep Her/Blues In The Night,GN1400,['Buddy Guy'],620
636,638,"['GN1403', 'GN1401']",20150731,Born To Play Guitar,2331990,[27343],Born To Play Guitar,GN1400,['Buddy Guy'],638
641,643,"['GN1501', 'GN0801', 'GN1504']",20150721,"늦은, 밤 (SLEEPER OST)",2330312,[757401],"늦은, 밤",GN0800,['진현'],643
676,678,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20191202,여기,10359223,[254296],여기,GN0800,['우주히피'],678
679,681,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20180410,봄이니까,10156371,[1909842],봄이니까,GN0800,['이스트코너 (East Corner)'],681
687,689,"['GN1403', 'GN1401']",20140526,Tune In To,249860,[165595],Heavy Heart Blues,GN1400,['Champion Jack Dupree'],689
727,729,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150930,From,2642147,[473460],프롬 (From),GN0800,['밀크티'],729
786,788,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180103,EGOLOG,10124164,[990116],#18 (Egolog),GN0800,['스키니죠 (Skinnyjoe)'],788
792,794,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150619,Imagine You,2324861,[749751],고백 (Let Me In),GN0800,['이매진'],794
796,798,"['GN1401', 'GN1404']",20040607,"Love Is The Answer : 24 Songs Of Faith, Hope And Love",343767,[28059],I Need Thee Every Hour,GN1400,['Glen Campbell'],798
808,811,['GN0801'],19941200,우리동네 사람들 하나,6396,[101360],우리 동네 사람들,GN0800,['우리 동네 사람들'],811
820,823,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150323,19.9,2310260,[857052],사소한 고백,GN0800,['센치한 버스'],823
823,826,"['GN1403', 'GN1401']",20150731,Born To Play Guitar,2331990,[27343],Thick Like Mississippi Mud,GN1400,['Buddy Guy'],826
864,867,"['GN1403', 'GN1401']",20200306,Reckless Blues,10399264,[520340],Human,GN1400,['Joanne Shaw Taylor'],867
878,881,"['GN1402', 'GN1401']",20151204,Love That You Love,2654574,[924138],Final Goodbye,GN1400,['Jogvan'],881
880,883,"['GN1403', 'GN1401']",20130903,The Ultimate Classic Blues Album: The Best of Chilled Blues & Cool Blues Songs & Hits,4927402,[2180560],When the Levee Breaks,GN1400,['Kansas Joe & Memphis Minnie'],883
907,910,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20160307,벚꽃 보러가요 리마스터드,2671018,[858745],벚꽃 보러가요 (리마스터드),GN0800,['먼데이모닝'],910
920,923,"['GN0801', 'GN0803']",19960901,다시가본 동물원,2054389,[100984],흐린 가을 하늘에 편지를 써,GN0800,['동물원'],923
951,954,"['GN0805', 'GN0801']",20161223,잠깐만요,10025620,[742478],잠깐만요 (Inst.),GN0800,['어쿠루브'],954
965,968,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20141120,그림,2291415,[757576],마부의 노래,GN0800,['권나무'],968
1015,1018,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150625,화전민의 노래,2325959,[496780],인투더 와일드 (Feat. 김오키),GN0800,['사이'],1018
1025,1028,"['GN1402', 'GN1401', 'GN1405']",19710000,Blue,26802,[26645],Little Green,GN1400,['Joni Mitchell'],1028
1027,1030,"['GN1402', 'GN1401']",20010821,"Parsley, Sage, Rosemary And Thyme (Bonus Track)",338140,[102837],The 59Th Street Bridge Song (Feelin` Groovy),GN1400,['Simon & Garfunkel'],1030
1050,1053,"['GN0105', 'GN0801', 'GN0101']",20111013,Voyage,2019958,[242339],Eve,GN0800,['이바디'],1053
1061,1064,"['GN1401', 'GN1404']",20110811,Taylor Swift (Karaoke Ver.),2007415,[325867],Picture To Burn (Karaoke Ver.),GN1400,['Taylor Swift'],1064
1093,1097,"['GN0804', 'GN0801']",20060609,아가미 - 새로 만든 민중의 노래,320077,[1088],불행아,GN0800,['이적'],1097
1097,1101,"['GN1401', 'GN1404']",20131210,The Blake Shelton Collection,2234231,[166017],The Baby,GN1400,['Blake Shelton'],1101
1134,1138,"['GN1403', 'GN1401']",20000213,Live In Japan,303033,[2033],"Niji Baby (Live At Sankei Hall, Tokyo, Japan/1971)",GN1400,['B.B. King'],1138
1176,1180,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20151005,우리만날시간,2643163,[896341],우리만날시간,GN0800,['연애할시간'],1180
1205,1209,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150522,young,2320034,[467880],Starry Night,GN0800,['스탠딩 에그'],1209
1228,1232,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150112,쇼파르뮤직 컴필레이션 Vol.1 (R-e Make And W-e Make),2299131,[305169],고백 (From. 김지수),GN0800,['바닐라 어쿠스틱'],1232
1229,1233,"['GN1402', 'GN1401']",20100913,Happy,1022758,[497744],Happy,GN1400,['Helen Austin'],1233
1230,1234,"['GN0801', 'GN0803']",19820515,The Best of Cho Dong Jin (진눈깨비/나뭇잎 사이로),342106,[530],행복한 사람,GN0800,['조동진'],1234
1244,1248,"['GN1402', 'GN1401', 'GN1013', 'GN1001']",20090507,People C`Mon / Trashcan,558156,[412740],People C`Mon,GN1400,['Delta Spirit'],1248
1322,1326,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20130129,기억에 관하여,2173704,[716929],황량해지기엔,GN0800,['다지'],1326
1373,1377,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20180716,밤은 깊어가는데,10184843,[43811],밤은 깊어가는데,GN0800,['서민영'],1377
1374,1378,"['GN1401', 'GN1404']",20200205,One More Day,10384518,[354290],One More Day,GN1400,['Music Travel Love'],1378
1386,1390,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20150901,세 번째 계절,2336064,[437760],David,GN0800,['가을방학'],1390
1389,1393,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20181127,교회가 있는 풍경,10226254,[957474],좋은 시절 Bittersweet Time,GN0800,['이권형'],1393
1415,1419,"['GN1403', 'GN1401']",20170518,The Monkey Gland Bluesband Part.1,10063153,[1704880],Long Gone,GN1400,['The Monkey Gland Bluesband'],1419
1473,1477,"['GN1401', 'GN1404']",20080127,Love Songs,377874,[29628],Down On My Knees,GN1400,['Trisha Yearwood'],1477
1499,1503,"['GN0805', 'GN0801']",20170709,Love Letter,10077859,[623032],"Love Letter (Feat. 희승, 수빈)",GN0800,['SWEETCH'],1503
1621,1625,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20170814,여행 가고 싶은 날,10087333,[837924],여행 가고 싶은 날 (Feat. 권선영),GN0800,['깃든'],1625
1639,1643,['GN0801'],20101106,박현의 시간여행,2186900,[24115],9월에 떠난 사랑,GN0800,['박현'],1643
1644,1648,"['GN1403', 'GN1401', 'GN1407']",20180727,Out Of The Blues,10193643,[20238],I’ve Just Got To Forget You,GN1400,['Boz Scaggs'],1648
1659,1663,"['GN1401', 'GN1404']",19970422,Greatest Hits And Then Some,90471,[194210],There Ain`t Nothin` Wrong With The Radio,GN1400,['Aaron Tippin'],1663
1702,1706,"['GN1401', 'GN1404']",20121119,100 Country Hits & Greatest Country Classics - The Very Best Classic Country Music Collection,4240309,[28399],Don`t Worry,GN1400,['Marty Robbins'],1706
1705,1709,"['GN1402', 'GN1401']",20010821,Bookends,305527,[102837],America,GN1400,['Simon & Garfunkel'],1709
1707,1711,"['GN1402', 'GN1401']",20170126,Acoustic Travel,10034226,[404306],Summer to Come,GN1400,['Pierre Langer'],1711
1738,1742,"['GN1403', 'GN1401']",19950000,The Complete Capitol/Black & White Recordings,360871,[39923],Goodbye Blues,GN1400,['T-Bone Walker'],1742
1741,1745,"['GN1403', 'GN1401']",19951106,King of The Blues,316722,[38930],That`s All Right,GN1400,['Freddie King'],1745
1775,1779,"['GN0801', 'GN0803']",19880301,아침 이슬,4254,[859],찔레꽃 피면,GN0800,['양희은'],1779
1778,1782,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180102,To ma 40,10123975,[993129],To ma 40,GN0800,['살구콤포트'],1782
1794,1798,['GN0801'],20140228,조동진 베스트,2237294,[530],아침 기차,GN0800,['조동진'],1798
1815,1819,"['GN1401', 'GN1407', 'GN1404']",20190304,One More Minute,10256385,[354290],One More Minute,GN1400,['Music Travel Love'],1819
1830,1834,"['GN1402', 'GN1401']",20080711,In Our Nature,389757,[228020],The Nest,GN1400,['Jos&#233; Gonz&#225;lez'],1834
1888,1892,"['GN1403', 'GN1401', 'GN1407']",20180525,Nine Below Zero,10169676,[27343],Nine Below Zero,GN1400,['Buddy Guy'],1892
1892,1896,"['GN1403', 'GN1401']",20150421,Top 100 - Oh My Blues Vol.1 (오! 마이 블루스 모음 1집),2315388,[193293],Save That Money,GN1400,['Rufus Thomas'],1896
1897,1901,['GN0801'],20150513,NV First EP `자장가`,2318126,[861636],굿나잇,GN0800,['NV'],1901
1902,1906,"['GN0509', 'GN0502', 'GN0801', 'GN0501']",20160311,Kitchen Table Music,2672329,[957702],단 한번이라도,GN0800,['Sugarhate'],1906
1919,1923,['GN0801'],20110329,세시봉 그때 그시절,1234367,[3466],비의 나그네,GN0800,['이장희'],1923
1932,1936,"['GN0804', 'GN0801']",20070316,"New 강촌사람들 Folksong Collection 5,6",347691,[160100],사랑합니다.,GN0800,['강촌사람들'],1936
1971,1975,['GN0801'],19880000,여인/그대 그리고 나,4095,[100748],여인,GN0800,['소리새'],1975
1981,1985,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20180622,그대라는 이름,10177994,[2191227],그대라는 이름,GN0800,['멜로우밤'],1985
2049,2053,"['GN1401', 'GN1404']",20100830,The Essential Alabama 3.0,2942023,[103703],Feels so Right,GN1400,['Alabama'],2053
2069,2073,"['GN1401', 'GN1404']",20181130,This Christmas,10227286,[714453],I`ll Be Home for Christmas,GN1400,['Hunter Hayes'],2073
2096,2100,"['GN0804', 'GN0801']",20000701,나의 나무,354088,[863],"기억속에, 그애가 있었네",GN0800,['예민'],2100
2125,2129,['GN0801'],20170614,별과 달,10070900,[1273483],별과 달,GN0800,['이주아'],2129
2152,2156,"['GN1402', 'GN1401']",20190208,Healing,10248764,[1630509],Marietta,GN1400,['Upstate'],2156
2203,2207,"['GN1402', 'GN1401']",20110601,TV Music Season 4,1294852,[466903],Here With Me,GN1400,['Suehee'],2207
2336,2340,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150806,기울어졌어,2333276,[748955],목이 빠질뻔했어!,GN0800,['안슬희'],2340
2338,2342,"['GN1402', 'GN1401']",20170310,Either/Or (Expanded Edition),10044817,[28323],Rose Parade (Live),GN1400,['Elliott Smith'],2342
2347,2351,"['GN0804', 'GN0801']",20070420,바다로 가자,350087,[100748],가을나그네,GN0800,['소리새'],2351
2350,2354,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20101019,1-1EP `36.5℃`,1044756,[44965],L.O.V.E,GN0800,['최고은'],2354
2384,2388,"['GN1401', 'GN1404']",20171128,Blue Country - The Patsy Cline Collection,4201217,[28812],Just A Closer Walk With Thee,GN1400,['Patsy Cline'],2388
2389,2393,"['GN1402', 'GN1401']",20000508,Live,301797,[104349],Sir B. MacKenzie (Live),GN1400,['Fairport Convention'],2393
2469,2473,"['GN1401', 'GN1404']",20180202,Anti-Valentine,5639458,[177834],Take A Bow,GN1400,['Rihanna'],2473
2485,2489,"['GN1401', 'GN1404']",20101026,Speak Now (Deluxe Package),1053760,[325867],Better Than Revenge,GN1400,['Taylor Swift'],2489
2489,2493,"['GN1403', 'GN1401', 'GN1406']",19940603,Keb `Mo`,45610,[28828],Love Blues,GN1400,['Keb` Mo`'],2493
2492,2496,"['GN1402', 'GN1401', 'GN1407']",20190402,Sweet Beer,10268395,[2298933],Sweet Beer,GN1400,['Mora Mora'],2496
2515,2519,"['GN1403', 'GN1401']",20111201,Blues For Christmas,2052666,[599378],I`d Rather Go Blind,GN1400,['Mertis Jun'],2519
2537,2541,['GN0801'],20041111,Memories (Remake Album),43467,[3243],친구,GN0800,['임지훈'],2541
2549,2553,"['GN0801', 'GN0803']",20141211,김광석 4집 리마스터링앨범,2294762,[2960],서른 즈음에,GN0800,['김광석'],2553
2602,2607,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20180614,흐르는 시간 속에 우리는 아름다워,10175787,[1203737],흐르는 시간 속에 우리는 아름다워,GN0800,['위수 (WISUE)'],2607
2654,2659,"['GN0507', 'GN0801', 'GN0803', 'GN0103']",19970800,나의 외로움이 널 부를 때,4746,[1514],집으로 돌아오는 길,GN0800,['장필순'],2659
2666,2671,"['GN1402', 'GN1401', 'GN1407']",20091002,The Cricket`s Orchestra,1231053,[531082],I Know,GN1400,['Meaghan Smith'],2671
2708,2713,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150317,봄냄새,2309255,[661852],봄냄새,GN0800,['빨간의자'],2713
2713,2718,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150325,데려다 줄 수 없어,2310773,[714975],데려다 줄 수 없어 (Feat. 차수민),GN0800,['스무살'],2718
2792,2797,"['GN1401', 'GN1404']",20031020,A Very Special Acoustic Christmas,327240,[194212],Just Put A Ribbon In Your Hair,GN1400,['Alan Jackson'],2797
2813,2818,"['GN1402', 'GN1401']",20101015,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),1047255,[7313],"Don`t Think Twice, It`s All Right",GN1400,['Bob Dylan'],2818
2817,2822,"['GN1403', 'GN1401', 'GN1407']",20180413,Front And Center (Live From New York),10158294,[165979],Jazz Man (Live),GN1400,['Beth Hart'],2822
2834,2839,"['GN0804', 'GN0801']",20070122,"안녕, 기억씨",342778,[216484],아주 오래 전에 아니 그리 멀지 않은 어제,GN0800,['하이 미스터 메모리'],2839
2835,2840,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150205,Trip,2303211,[836923],말할거에요,GN0800,['로맨스탭'],2840
2847,2852,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20110214,정전,1169651,[521301],자전거 소년,GN0800,['leeSA (리싸)'],2852
2928,2933,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20140613,Kiss Me,2260574,[775208],Kiss Me,GN0800,['AbcD'],2933
2934,2939,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20141024,커피 한 잔,2287239,[710311],커피 한 잔,GN0800,['브롤리'],2939
2948,2953,"['GN1401', 'GN1404']",19990518,Last Chance For A Thousand Years - Dwight Yoakam`s Greatest Hits From The 90`s,63184,[27476],Suspicious Minds ,GN1400,['Dwight Yoakam'],2953
2963,2968,"['GN1403', 'GN1401']",20060801,The Sonet Blues Story,329056,[34472],Baby What You Want Me To Do?,GN1400,['Otis Rush'],2968
2971,2976,"['GN0805', 'GN0801']",20150824,"다시, 봄",2336104,[881466],고래가 보았다고 합니다,GN0800,['도마'],2976
2985,2990,"['GN1402', 'GN1401']",20020924,The Naked Ride Home,26570,[28093],Sergio Leone,GN1400,['Jackson Browne'],2990
2998,3003,"['GN0805', 'GN0801']",20190619,hold,10297628,[895852],I’m an independent man,GN0800,['Mokyo'],3003
3044,3049,"['GN0804', 'GN0801']",20070316,"New 강촌사람들 Folksong Collection 5,6",347691,[160100],슬픈여인,GN0800,['강촌사람들'],3049
3060,3065,"['GN1402', 'GN1401', 'GN1407']",20090220,Back On My Feet,2299208,[522328],Back On My Feet,GN1400,['MissinCat'],3065
3100,3105,"['GN1402', 'GN1401']",20070724,We Were Here,2877058,[425060],Only You (Album Version),GN1400,['Joshua Radin'],3105
3178,3183,"['GN0801', 'GN0103']",19901030,예민,4298,[863],가시야,GN0800,['예민'],3183
3229,3234,"['GN1401', 'GN1404']",20150528,Country & Old Pop Traveling Vol. 2,2320720,[765470],Would You,GN1400,['Wilton Vought'],3234
3248,3253,"['GN1401', 'GN1404', 'GN1405']",19760000,Boots Randolph`s Greatest Hits,366842,[45343],Yakety Sax,GN1400,['Boots Randolph'],3253
3264,3269,"['GN0805', 'GN0801']",20130314,H-Hoya,2178118,[719495],3월 7일 (너였잖아) (Acoustic Ver.),GN0800,['H-Hoya'],3269
3315,3320,"['GN1401', 'GN1404']",20170510,감성적인 컨트리 음악 모음 Vol.1 (Emotional Country Vocal Vol.1),10060424,[791855],Every Story Of My Life,GN1400,['Kevin Reardon'],3320
3334,3339,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20181210,Be Your Christmas,10231044,[681456],Snowball (Feat. 바닐라 어쿠스틱),GN0800,['스웨덴세탁소'],3339
3425,3430,['GN0801'],20110228,쎄시봉 친구들,2025571,[981],첫사랑,GN0800,['김세환'],3430
3442,3447,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180506,CAKE SONG,10164320,[1759349],CAKE SONG,GN0800,['소른'],3447
3445,3450,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20170422,좋아요 (Feat. 그_냥),10057209,[927939],좋아요 (Feat. 그_냥),GN0800,['후아유'],3450
3462,3467,"['GN0805', 'GN0801']",20110325,부서진 바람,1227254,[3254],부서진 바람,GN0800,['수경'],3467
3464,3469,"['GN1402', 'GN1401', 'GN1405']",19670000,Wildflowers,304515,[2997],A Ballata Of Francesco Landini,GN1400,['Judy Collins'],3469
3541,3547,"['GN1403', 'GN1401']",20050927,Bring `Em In,310690,[27343],Ain`t No Sunshine,GN1400,['Buddy Guy'],3547
3561,3567,"['GN1403', 'GN1401']",19950000,The Complete Capitol/Black & White Recordings,360871,[39923],First Love Blues,GN1400,['T-Bone Walker'],3567
3562,3568,"['GN1403', 'GN1401']",20050308,"Damn Right, I`ve Got The Blues",310691,[27343],Black Night,GN1400,['Buddy Guy'],3568
3567,3573,['GN0801'],20190404,봄이 왔네,10269636,[1462],봄이 왔네 (Inst.),GN0800,['신피디'],3573
3571,3577,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20130409,데뷰,2180771,[230402],밥통,GN0800,['아마도이자람밴드'],3577
3579,3585,"['GN1401', 'GN1406', 'GN1404']",19990427,You Won` t Ever Be Lonely,90482,[194215],She`s More,GN1400,['Andy Griggs'],3585
3612,3620,"['GN1403', 'GN1401', 'GN1405']",19690000,The Live Adventures Of Mike Bloomfield And Al Kooper,46380,"[30027, 28426]",Together `Til The End Of Time,GN1400,"['Al Kooper', 'Michael Bloomfield']",3620
3683,3691,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20141017,주희,2286107,[758711],주희 (Feat. DJ Shinin`stone),GN0800,['태범'],3691
3698,3706,"['GN0801', 'GN0803']",19940625,김광석 네번째,1047955,[2960],맑고 향기롭게,GN0800,['김광석'],3706
3711,3719,"['GN1403', 'GN1401']",20170331,Love And Affection : The Essential Joan Armatrading,10053373,[28151],The Weakness In Me,GN1400,['Joan Armatrading'],3719
3754,3762,"['GN0805', 'GN0801']",20170919,첫 번째 이야기 `혼자녀의 밤`,10096929,[1910591],두달 뒤 부르는 노래,GN0800,['플라워디어 (Flour Deer)'],3762
3763,3771,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20110602,너를 노래해,1295069,[455661],나는 네가 그립기만 해,GN0800,['달에닿아'],3771
3784,3792,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20170324,Start Easy Humming,10048681,[1627104],관찰자의 입장,GN0800,['이지허밍'],3792
3789,3797,"['GN1402', 'GN1401']",20160106,In Deepest Blue,2660341,[590511],Living & Dying,GN1400,['Joshua Hyslop'],3797
3793,3801,"['GN1402', 'GN1401']",20031114,The Very Best Of Cat Stevens,33132,[27411],Oh Very Young,GN1400,['Cat Stevens'],3801
3843,3851,"['GN1402', 'GN1401', 'GN1001']",20110830,The Rip Tide,2015826,[230525],A Candle`s Fire,GN1400,['Beirut'],3851
3880,3888,['GN0801'],19970201,Nostalgia,4301,[863],세발 자전거와 바둑이,GN0800,['예민'],3888
3896,3904,"['GN0804', 'GN0801']",20071017,소리새 라이브 카페 CD2,359660,[100748],아직도 못다한사랑,GN0800,['소리새'],3904
3898,3906,"['GN1402', 'GN1401']",19751100,The Hissing Of Summer Lawns,60667,[26645],Harry`s House-Centerpiece ,GN1400,['Joni Mitchell'],3906
3903,3911,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20180426,Diary Vol.13 (사랑하고 싶어),10161233,[674129],사랑하고 싶어,GN0800,['혜화동소년'],3911
3907,3915,"['GN1402', 'GN1401']",20000801,Tried And True(The Best Of Suzanne Vega),24331,[2119],Tom`s Diner,GN1400,['Suzanne Vega'],3915
3916,3924,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20141022,머무름 없이 이어지다,2285732,[230389],겨울을 건너,GN0800,['시와'],3924
3968,3976,"['GN1401', 'GN1404']",20101122,Speak Now (Karaoke Ver.),2007445,[325867],Enchanted (Instrumental With Background Vocals),GN1400,['Taylor Swift'],3976
3979,3987,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20170303,봄이 오네,10042982,[979120],봄이 오네,GN0800,['퐁당'],3987
3980,3988,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20160204,ONVA,2665696,[45039],사랑에 빠진 딸기,GN0800,['오은비'],3988
4020,4028,"['GN0804', 'GN0801']",20080515,오퍼스,381910,[863],연리지,GN0800,['예민'],4028
4033,4041,"['GN1403', 'GN1401']",19991001,Live On,24999,[28246],You Should Know Better,GN1400,['Kenny Wayne Shepherd'],4041
4061,4069,"['GN1402', 'GN1401']",20131127,How To Stop Time,2218038,[696455],Rainbows And Starlight,GN1400,['Adhitia Sofyan'],4069
4072,4080,"['GN1402', 'GN1503', 'GN1501', 'GN1401']",20071114,어거스트 러쉬 OST,360884,[231220],This Time,GN1400,['Jonathan Rhys Meyers'],4080
4080,4088,"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20170531,Alice,10066820,[1758069],Warm Street,GN0800,['Evey'],4088
4083,4091,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20190724,Your Breath,10310275,[1230304],Your Breath,GN0800,['단칸방 로맨스'],4091
4096,4104,"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20191027,FLY,10343788,[2751844],FLY,GN0800,['황휘현밴드'],4104
4104,4112,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20190416,I`m not ok,10274439,[968560],good morning,GN0800,['김태승 (Kim taeseung)'],4112
4106,4114,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20120530,Pass Me Not,2125413,[673689],설레발,GN0800,['페이퍼컷 프로젝트'],4114
4147,4156,"['GN1401', 'GN1404']",20160415,A Sailor`s Guide To Earth,2679349,[946949],Oh Sarah,GN1400,['Sturgill Simpson'],4156
4152,4161,"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20141027,달동네,2287582,[597711],조금만 더,GN0800,['김거지'],4161
4153,4162,"['GN0804', 'GN0801']",20060320,Here Now Here On,315791,[182189],가난한 약속,GN0800,['유로'],4162
4186,4195,"['GN1401', 'GN1407', 'GN1404']",20080415,Lady Antebellum,1182664,[340969],Love`s Lookin` Good On You,GN1400,['Lady Antebellum'],4195
